"","ID","Int","Slope","Slope.lci","Slope.uci","Rho","r.sq","n","varWD","varLMA","lci_2.5","lci_5","lci_10","uci_10","uci_5","uci_2.5","sig","Species","Level"
"1","ACAC",-0.0247640678568,0.0630696462860434,0.0196023127179571,0.202924029418361,0.878530811112985,0.77181638607484,4,0.00432826981929797,1.7216906345178e-05,NA,NA,NA,NA,NA,NA,0.121469188887015,"ACAC","Btw-site"
"2","AMYG",-0.00950246377653554,0.0443493843340375,0.0354297472936863,0.0555145898869754,0.992376941348787,0.984811993720773,5,0.00174657154885004,3.43527549843223e-06,NA,NA,NA,NA,NA,NA,0.000798050783584791,"AMYG","Btw-site"
"3","COCA",-0.0679446727848454,0.149706124500893,0.0554311882546109,0.404319741625104,0.773180461289306,0.597808025719544,5,0.000255355961652633,5.72301833223817e-06,NA,NA,NA,NA,NA,NA,0.125169050161356,"COCA","Btw-site"
"4","EMARG",-0.0580112062100019,0.133862677558885,0.0616449423073771,0.290684292539109,0.884991232403184,0.783209481430507,5,0.000408089263926505,7.31263984845914e-06,NA,NA,NA,NA,NA,NA,0.0460036888275445,"EMARG","Btw-site"
"5","ESAL",-0.00659646982789511,0.0441921922935429,0.00891734561803551,0.219005738182851,0.62418406399301,0.38960574574283,4,0.000831164831390425,1.62322324085938e-06,NA,NA,NA,NA,NA,NA,0.37581593600699,"ESAL","Btw-site"
"6","OBLI",-0.0924189357976009,0.191869616120578,0.0473675186865559,0.777198185825737,0.780527257542632,0.609222799767023,4,0.000133976686662783,4.93221098907353e-06,NA,NA,NA,NA,NA,NA,0.219472742457367,"OBLI","Btw-site"
"7","OVAT",-0.0175708312689139,0.0621520779518155,0.0155831249920836,0.247888712674187,0.789103179593111,0.622683828043958,4,0.00141541064711812,5.46756260399147e-06,NA,NA,NA,NA,NA,NA,0.210896820406889,"OVAT","Btw-site"
"8","VIMI",-0.024305126080646,0.0714651553547549,0.0206556240835295,0.24725800630501,0.505445235545609,0.255474886135756,5,0.000512969487540692,2.61987286920794e-06,NA,NA,NA,NA,NA,NA,0.385008938603626,"VIMI","Btw-site"
