"","ID","Int","Slope","Slope.lci","Slope.uci","Rho","r.sq","n","varLDMC","varLMA","lci_2.5","lci_5","lci_10","uci_10","uci_5","uci_2.5","sig","Species","Level"
"1","ACAC",-0.0124445134713558,0.0780149693039068,0.0335319009252498,0.181508810045018,0.950173994398186,0.902830619630604,4,0.00282878039300725,1.7216906345178e-05,NA,NA,NA,NA,NA,NA,0.0498260056018142,"ACAC","Btw-site"
"2","AMYG",-0.0108330798700657,0.065196182275678,0.0411464813445204,0.103302689426431,0.965760037134123,0.932692449325303,5,0.000808197013526933,3.43527549843223e-06,NA,NA,NA,NA,NA,NA,0.0075664227562851,"AMYG","Btw-site"
"3","COCA",-0.0112714825877593,0.0604816408738529,0.0240202227526769,0.152289548704791,0.816656850447283,0.666928411382476,5,0.00156450878754882,5.72301833223817e-06,NA,NA,NA,NA,NA,NA,0.0916033214856752,"COCA","Btw-site"
"4","EMARG",0.111004000811593,-0.177944265187064,-0.692176100248944,-0.0457458174322632,-0.150765307295911,0.0227301778840305,5,0.000230943738884908,7.31263984845914e-06,NA,NA,NA,NA,NA,NA,0.808769364079045,"EMARG","Btw-site"
"5","ESAL",-0.00697658611271878,0.063570905954592,0.0134439332679477,0.300601022285831,0.670010145993014,0.448913595733581,4,0.000401662651540577,1.62322324085938e-06,NA,NA,NA,NA,NA,NA,0.329989854006985,"ESAL","Btw-site"
"6","OBLI",-0.0041381246558461,0.0531794136515961,0.0255420043469954,0.110721539230348,0.96473227267279,0.930708357936406,4,0.00174403243426286,4.93221098907353e-06,NA,NA,NA,NA,NA,NA,0.0352677273272101,"OBLI","Btw-site"
"7","OVAT",-0.0130849928939307,0.0763560068890786,0.0361401684640295,0.161322983146796,0.963019237142206,0.927406051105956,4,0.000937793779117417,5.46756260399147e-06,NA,NA,NA,NA,NA,NA,0.0369807628577943,"OVAT","Btw-site"
"8","VIMI",-0.00330408936838814,0.0491073777827447,0.0212411362214554,0.113531335026295,0.859330419233449,0.738448769419935,5,0.00108639242439123,2.61987286920794e-06,NA,NA,NA,NA,NA,NA,0.061979968595859,"VIMI","Btw-site"
